frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
128,59,[593.80 403.20 771.40 672.20],"[676.6964340209961, 574.9001312255859, 749.8327026367188, 622.4109344482422]",0.7880881428718567,KL18R1138,0.8076454401016235
128,68,[482.20 246.20 525.40 301.00],,,,
129,55,[738.40 166.60 1272.60 560.00],[999.65 405.12 1117.73 473.96],0.0,BMRCL,0.9881882667541504
129,56,[291.20 243.80 509.40 426.40],"[318.35560607910156, 328.38939666748047, 402.2321472167969, 356.02925872802734]",0.7238938808441162,KA01XJ0152,0.7406457662582397
129,59,[593.80 403.20 771.40 672.20],[676.70 575.17 749.39 624.45],0.0,18,0.9687582850456238
129,68,[482.00 248.00 526.20 303.60],,,,
130,55,[734.80 160.80 1276.20 584.20],"[1020.8092041015625, 415.30108642578125, 1138.8067016601562, 486.44171142578125]",0.49924391508102417,BMRCL,0.7278370261192322
130,56,[306.20 246.80 514.00 422.00],[310.84 331.13 396.71 359.30],0.0,KA01MJ0152,0.950167179107666
130,59,[594.40 407.20 772.20 672.60],"[676.7088851928711, 575.4307861328125, 748.9491119384766, 626.4941864013672]",0.7697755098342896,LI8R3138,0.8528868556022644
131,55,[740.00 169.00 1272.80 568.60],[996.44 321.32 1106.70 384.51],0.0,BMRCL,0.9881882667541504
131,56,[280.20 243.80 510.00 433.40],"[303.3220024108887, 333.8789291381836, 391.18321228027344, 362.57425689697266]",0.7217631340026855,KA01XJ0152,0.8487794995307922
131,59,[594.40 405.00 772.00 672.40],[676.92 576.93 749.34 628.39],0.0,18,0.9687582850456238
131,71,[178.67 233.00 264.67 298.67],,,,
132,55,[740.00 169.00 1272.80 568.60],"[972.0747985839844, 227.34518432617188, 1074.59375, 282.57884216308594]",0.5156050324440002,BMRCL,0.5555190443992615
132,56,[298.80 246.80 515.60 427.20],[292.60 337.29 384.53 367.54],0.0,KA01MJ0152,0.950167179107666
132,59,[595.00 409.60 772.60 673.00],"[677.1261444091797, 578.4341583251953, 749.7387542724609, 630.2879180908203]",0.7955157160758972,XL18R1139,0.8600271940231323
132,71,[176.25 233.25 263.75 299.00],,,,
133,55,[745.40 175.20 1269.60 548.20],[987.34 226.96 1096.01 283.48],0.0,BMRCL,0.9881882667541504
133,56,[267.20 244.20 509.80 441.80],"[281.8750686645508, 340.70518493652344, 377.86773681640625, 372.5050506591797]",0.7414742112159729,KA01XJ0152,0.8045064210891724
133,59,[595.20 406.60 772.40 673.00],[677.97 579.88 750.41 629.23],0.0,18,0.9687582850456238
133,60,[532.33 320.67 608.00 447.00],,,,
133,71,[173.00 233.40 261.40 299.00],,,,
134,55,[745.40 175.20 1269.60 548.20],[1002.60 226.57 1117.42 284.37],0.0,BMRCL,0.9881882667541504
134,56,[288.40 247.40 513.20 433.00],[269.95 345.01 369.82 378.56],0.0,KA01MJ0152,0.950167179107666
134,59,[596.20 411.80 773.40 673.60],"[678.8087615966797, 581.3220977783203, 751.0715484619141, 628.1766510009766]",0.7643609046936035,XL18R1139,0.7813628315925598
134,60,[530.25 318.00 606.50 445.75],,,,
134,70,[485.00 249.67 540.00 297.67],,,,
134,71,[167.60 233.80 258.20 299.40],,,,
135,55,[749.00 181.00 1266.00 524.00],[1017.86 226.18 1138.83 285.27],0.0,BMRCL,0.9881882667541504
135,56,[251.20 244.80 506.60 450.80],"[258.01678466796875, 349.3051071166992, 361.7782745361328, 384.62425231933594]",0.7412572503089905,KA01XJ0152,0.8084321022033691
135,59,[595.60 407.80 772.60 673.20],[679.64 581.88 752.04 628.58],0.0,18,0.9687582850456238
135,70,[484.75 250.00 540.00 297.75],,,,
135,71,[161.60 234.20 252.80 299.40],,,,
136,55,[749.00 181.00 1266.00 524.00],[1033.12 225.79 1160.25 286.17],0.0,BMRCL,0.9881882667541504
136,56,[277.20 247.80 510.60 439.40],[242.92 354.13 350.60 390.55],0.0,KA01MJ0152,0.950167179107666
136,59,[597.20 412.80 773.60 673.40],"[680.4750671386719, 582.4339447021484, 753.00830078125, 628.9926605224609]",0.7842720746994019,XL18R1139,0.8156760931015015
136,70,[484.20 250.20 539.80 298.40],,,,
136,71,[157.20 234.40 249.80 299.20],,,,
137,55,[746.60 171.00 1269.40 554.40],[1048.38 225.41 1181.66 287.06],0.0,BMRCL,0.9881882667541504
137,56,[232.60 244.20 503.00 460.80],"[227.8184051513672, 358.9521713256836, 339.42364501953125, 396.47169494628906]",0.7426047921180725,KA01XJ0152,0.8564749956130981
